"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Boyce_pvalue";"cAUC_pvalue";"AUC_pvalue";"TSS_pvalue"
"Luscinia svecica";"Grote Nete";"FDA";55;-0,726;0,160150515224253;0,539007441658373;0,740968947942727;0,626070225170235
"Luscinia svecica";"Grote Nete";"GAM";55;-0,726;0,632829285510055;0,171745921713532;0,323375488310951;0,0299640103253539
"Luscinia svecica";"Grote Nete";"GBM";55;-0,726;0,28323790991866;0,152401977015442;0,367865140807664;0,3705240034925
"Luscinia svecica";"Grote Nete";"GLM";55;-0,726;0,599091468303919;0,129036468685581;0,305942856666087;0,38889373545471
"Luscinia svecica";"Grote Nete";"RF";55;-0,726;0,329162357380744;0,301852475690198;0,594143638272572;0,433712006900115
"Luscinia svecica";"Grote Nete";"SRE";55;-0,726;NA;0,0376635207160306;0,101700791759667;0,100948357834741
"Oriolus oriolus";"Grote Nete";"ANN";65;-0,855;0,10284984953561;0,466196334733671;0,983462692853816;0,975345059825999
"Oriolus oriolus";"Grote Nete";"CTA";65;-0,855;0,280267002412559;0,151825112575889;0,910007447812112;0,884546783974256
"Oriolus oriolus";"Grote Nete";"FDA";65;-0,855;0,111097635920844;0,0563206897986215;0,810961120106594;0,605097959225187
"Oriolus oriolus";"Grote Nete";"GAM";65;-0,855;0,0958734696060275;0,00394607109631801;0,306887102958366;0,315221329088806
"Oriolus oriolus";"Grote Nete";"GBM";65;-0,855;0,383072870964518;0,0115472587993468;0,737870245845886;0,905797105221559
"Oriolus oriolus";"Grote Nete";"GLM";65;-0,855;0,402566202100883;0,0480310831533118;0,841642243454652;0,960968104701107
"Oriolus oriolus";"Grote Nete";"RF";65;-0,855;0,646993536209153;0,106519638457986;0,959090115685588;0,916843430013408
"Oriolus oriolus";"Grote Nete";"SRE";65;-0,855;0,719292035244603;0,239703777413001;0,962018516958374;0,923491841047823
"Phoenicurus phoenicurus";"Grote Nete";"ANN";63;-0,588;0,990441522536976;0,698691107122068;0,99554759022933;0,996752916465795
"Phoenicurus phoenicurus";"Grote Nete";"CTA";63;-0,588;0,215216510852224;0,115957271926926;0,879203731805115;0,928538321008325
"Phoenicurus phoenicurus";"Grote Nete";"FDA";63;-0,588;0,388019124265025;0,300128247386268;0,936124023423786;0,918689674785189
"Phoenicurus phoenicurus";"Grote Nete";"GAM";63;-0,588;0,65209736727251;0,141516098423227;0,86956753625124;0,879224629092882
"Phoenicurus phoenicurus";"Grote Nete";"GBM";63;-0,588;0,620940349380775;0,178117146298694;0,956629011622617;0,91948205374411
"Phoenicurus phoenicurus";"Grote Nete";"GLM";63;-0,588;0,212139740025606;0,0670638345866654;0,812845947044129;0,836662809253094
"Phoenicurus phoenicurus";"Grote Nete";"RF";63;-0,588;0,481343332305268;0,145839750764193;0,955631621561886;0,918507347715572
"Phoenicurus phoenicurus";"Grote Nete";"SRE";63;-0,588;NA;0,000348097607123326;0,114560274453727;0,134120449617891
"Poecile montanus";"Grote Nete";"ANN";107;-0,796;0,8517325125917;0,0101772411617025;0,408798467341834;0,361070639746864
"Poecile montanus";"Grote Nete";"CTA";107;-0,796;0,650307418811517;0,0288719512367812;0,745357329372787;0,673854868459699
"Poecile montanus";"Grote Nete";"FDA";107;-0,796;0,455512565152588;0,00688321825842404;0,611678636534132;0,431230727817458
"Poecile montanus";"Grote Nete";"GAM";107;-0,796;0,638613523763157;0,00246688081819334;0,4097079259752;0,380550067353501
"Poecile montanus";"Grote Nete";"GBM";107;-0,796;0,679669447355278;0,00371084440972615;0,453089054984098;0,546065137459491
"Poecile montanus";"Grote Nete";"GLM";107;-0,796;0,0616534222575818;0,000362905818485877;0,241371162389454;0,241070377798606
"Poecile montanus";"Grote Nete";"RF";107;-0,796;0,158347098698411;0,00106931062607553;0,286729695254683;0,365501344066436
"Poecile montanus";"Grote Nete";"SRE";107;-0,796;0,154837002908201;0,000818578117923085;0,190720109871535;0,279109613530269
"Sciurus vulgaris";"Grote Nete";"ANN";192;0,1;0,155708904438657;0,120535856423279;0,107708957311186;0,071127768701405
"Sciurus vulgaris";"Grote Nete";"CTA";192;0,1;0,316084163577781;0,0132421229602434;0,0112343315111596;0,0192475868732809
"Sciurus vulgaris";"Grote Nete";"FDA";192;0,1;0,0024992290911408;0,00203672448131609;0,00167227052963146;0,00215029538802396
"Sciurus vulgaris";"Grote Nete";"GAM";192;0,1;0,416986589069139;0,00760274780676498;0,00652463449887872;0,00564617259055431
"Sciurus vulgaris";"Grote Nete";"GBM";192;0,1;0,218239036335018;0,000368464403293369;0,000294090020972427;0,000690205927063212
"Sciurus vulgaris";"Grote Nete";"GLM";192;0,1;0,0797581486310967;0,0304112370490021;0,0267058834519511;0,0202812403435919
"Sciurus vulgaris";"Grote Nete";"RF";192;0,1;0,103927700529143;0,00010093580338813;0,0000782708941439019;0,000245502831220892
"Sciurus vulgaris";"Grote Nete";"SRE";192;0,1;0,346806473769507;0,695377878412833;0,668363417836698;0,639326120464762
"Epidalea calamita";"Thau";"ANN";58;0,199;0,505824481116474;0,000915642656737985;0,0202258382710953;0,0142389611493226
"Epidalea calamita";"Thau";"CTA";58;0,199;0,267991765795844;0,00273604601099713;0,0796851492417254;0,10964587580681
"Epidalea calamita";"Thau";"FDA";58;0,199;0,0182601005552613;0,000822488922043617;0,0126137359836492;0,00258426025027104
"Epidalea calamita";"Thau";"GAM";58;0,199;0,284412065768337;0,0118580447282244;0,140461832136703;0,571973005987036
"Epidalea calamita";"Thau";"GBM";58;0,199;0,210367621401804;0,000267797387385281;0,0119569628736235;0,0152296919918404
"Epidalea calamita";"Thau";"GLM";58;0,199;0,00622283337819104;0,000151892607631541;0,00476336494211132;0,00484630954956706
"Epidalea calamita";"Thau";"RF";58;0,199;0,688396784742201;0,000565364176474347;0,0275593254282443;0,0569828586091567
"Epidalea calamita";"Thau";"SRE";58;0,199;NA;0,532038831870491;0,948535838301243;0,936228365993089
"Natrix natrix";"Thau";"ANN";14;-0,459;0,221641627743201;0,000807866568518314;0,0263435271707549;0,0333303216975898
"Natrix natrix";"Thau";"CTA";14;-0,459;0,423966539487302;0,0074529177246303;0,236971867811012;0,270317831940356
"Natrix natrix";"Thau";"FDA";14;-0,459;0,171232353531338;0,0167791143748307;0,18232775331618;0,101589554955312
"Natrix natrix";"Thau";"GAM";14;-0,459;NA;NA;NA;NA
"Natrix natrix";"Thau";"GBM";14;-0,459;NA;NA;NA;NA
"Natrix natrix";"Thau";"GLM";14;-0,459;0,00177823623878488;0,131798633940103;0,543446253384536;0,723379699189252
"Natrix natrix";"Thau";"RF";14;-0,459;0,0499464628678856;0,0957020283883359;0,57778151179231;0,5
"Natrix natrix";"Thau";"SRE";14;-0,459;NA;0,117487075214451;0,689704958260699;0,661915552130425
"Plecotus austriacus";"Thau";"ANN";50;0,053;0,726368042833151;0,000438129601901155;0,00667852377883689;0,000256819923846318
"Plecotus austriacus";"Thau";"CTA";50;0,053;0,724045456084583;0,00149793366970485;0,0398951913157731;0,0475679735096536
"Plecotus austriacus";"Thau";"FDA";50;0,053;0,152410220367378;0,0261692196791724;0,159582470087557;0,0642836519021633
"Plecotus austriacus";"Thau";"GAM";50;0,053;0,375969995326645;0,0118219326983545;0,111896105274452;0,0426634590032162
"Plecotus austriacus";"Thau";"GBM";50;0,053;0,410526549288223;0,00653746395814086;0,0753946564180315;0,0419060306107608
"Plecotus austriacus";"Thau";"GLM";50;0,053;0,815161575299499;0,0230315537554661;0,17375762145571;0,0461551547745733
"Plecotus austriacus";"Thau";"RF";50;0,053;0,186231976014868;0,0148364499759413;0,158650613780155;0,0600279329576744
"Plecotus austriacus";"Thau";"SRE";50;0,053;NA;0,0108430238979729;0,137698453240019;0,106753903983214
