"Species";"Site";"Model";"Schoener_Cor";"Schoener_Uncor";"Schoener_pvalue";"Pearson_Cor";"Pearson_Uncor";"Pearson_pvalue";"RMSE_Cor";"RMSE_Uncor";"RMSE_pvalue"
"Philoherbagenos thauensis";"Thau";"GBM";0,840897687200556;0,828701816208162;0,0000000266728100600845;0,615363842865406;0,608056952587014;0,151617437422828;314,658741415409;332,16055003825;0,000000000000000111022302462516
"Philoherbagenos thauensis";"Thau";"CTA";0,807360296876406;0,782725242467728;0,0074851696503971;0,591261002654906;0,542424475479951;0,00376456905624094;342,816504078825;371,394703375922;0,00004733601021778
"Philoherbagenos thauensis";"Thau";"SRE";0,802058343595528;0,770748099521574;0,0000000000000642699130666752;0,621171009786212;0,620517766620286;0,438992856688614;369,467968002718;381,265825111027;0,00000867992223207992
"Philoherbagenos thauensis";"Thau";"RF";0,801357172486984;0,82273659083068;1;0,563327954042863;0,554797724478035;0,13676670855488;344,658744041579;344,538821776266;0,522472426378889
"Philograss thauensis";"Thau";"GLM";0,739337105327622;0,748138482721846;0,896464274732734;0,932673274335104;0,937594265620076;0,941933079246964;89,1159443154158;84,4195141688483;0,996397381970811
"Philograss thauensis";"Thau";"GAM";0,735998986424679;0,74879733960237;0,971230093391746;0,930191748613349;0,936342241519551;0,974789647677958;92,9409238999783;88,4589710801293;0,979364743344207
"Philograss thauensis";"Thau";"ANN";0,680288200048068;0,68722539497875;0,904803033204986;0,903733227750655;0,907360164589243;0,908321515940932;106,007881268894;103,648223181148;0,967476372546176
"Philograss thauensis";"Thau";"FDA";0,678067143843721;0,674394852783742;0,268375277766762;0,890790845531869;0,890439227040018;0,456337019757364;121,505330504569;118,321723793223;0,99989480286251
"Philograss thauensis";"Thau";"GBM";0,678067143843721;0,674394852783742;0,268375277766762;0,890790845531869;0,890439227040018;0,456337019757364;121,505330504569;118,321723793223;0,99989480286251
"Philograss thauensis";"Thau";"CTA";0,654067885542466;0,675003209088557;0,994909840278247;0,874050773920271;0,883093792397312;0,996076941990451;130,557509542395;132,204797481935;0,0457306756141433
