"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Schoener_Cor_Cor";"Schoener_Uncor_Cor";"Pearson_Cor_Cor";"Pearson_Uncor_Cor";"Spearman_Cor_Cor";"Spearman_Uncor_Cor";"ROI_Schoener";"ROI_Pearson";"ROI_Spearman";"Schoener_pvalue"
"Philoherbas norwayensis";"Trondheim";"GAM";100;0,76;0,9286668471854;0,62852147583929;0,980741040514711;0,749684436544657;0,890713576319283;0,738742052284821;0,323200265257439;0,116651596167267;0,0803778668212191;0
"Philoherbas belgiumensis";"Grote Nete";"GBM";80;-0,87;0,893880843602795;0,906162288195783;0,931902203709126;0,94089586462393;0,575280221588767;0,559496395380744;-0,0137394650314776;-0,00465533964272973;0,0100196942688102;0,999429572719481
"Alteragris thauensis";"Thau";"GBM";100;0,821;0,904578027894556;0,877326581920788;0,791247196179717;0,789651347317531;0,790825211281541;0,785919940612157;0,0301261418400772;0,000890914925416084;0,00273911191247668;0,00000000000000000000000000231691048498035
"Philoherbagenos thauensis";"Thau";"GBM";80;0,627;0,897036900243537;0,895051346027904;0,771128959182386;0,746084913245757;0,680294760327411;0,657205602468424;0,00221345879427542;0,0141401594766933;0,0137411354270294;0,172014529256759
"Philoherbas thauensis";"Thau";"GBM";100;-0,348;0,866509983880062;0,861402323135439;0,911124099540068;0,905287610705608;0,924297106300974;0,924143357545368;0,00589452036288427;0,00305395596019335;0,0000798986575941781;0,00142019240489069
"Fugiagrisnorwayensis";"Trondheim";"GBM";300;-0,146;0,932237758598869;0,930707297978486;0,976340051980888;0,974606474236257;0,917236227851944;0,924840554141555;0,0016417063203738;0,000877165719985282;-0,00396629595202835;0,0110226199975732
"Philoherbas norwayensis";"Trondheim";"GBM";100;0,76;0,943296815041135;0,840459255527668;0,979668390120504;0,901075450153689;0,679252938171112;0,476154053124651;0,109019301108297;0,0397000529780802;0,120945975695393;0
"Alteragris belgiumensis";"Grote Nete";"GLM";100;0,317;0,961615010954284;0,944490690964049;0,990623484242318;0,979011604069495;0,981167007775195;0,964775075495018;0,0178078750801128;0,00583328804504869;0,00827387707136523;0,0000000000000000000000000000000000020766265674645
"Fugiagrisbelgiumensis";"Grote Nete";"GLM";300;0,89;0,973803955076208;0,971245375481256;0,998897548556435;0,998460434865909;0,955261146088102;0,960420181394345;0,00262740727393314;0,000218677385862978;-0,00263854028734956;0,000429538212889555
"Philocourdogenos belgiumensis";"Grote Nete";"GLM";300;0,961;0,981268720100382;0,926373414833669;0,997186897299368;0,947146573775259;0,989542647519137;0,872519196078754;0,0559431928708547;0,0250554034736426;0,058819272653595;0
"Philocourdos belgiumensis";"Grote Nete";"GLM";300;0,764;0,974428838237546;0,972047593021051;0,997172705724888;0,996529391713728;0,989471020097184;0,989885926991636;0,00244373434267634;0,00032211235879427;-0,000208551363785001;0,0019050791670718
"Philograss belgiumensis";"Grote Nete";"GLM";100;0,62;0,966909838672262;0,940583171233394;0,988146103291949;0,969633712608058;0,895627671091034;0,87126476022328;0,0272276342487312;0,00931138343064334;0,0128521603895625;0,00000000000000000000000000000000000000000000000000034976619359372
"Philoherbagenos belgiumensis";"Grote Nete";"GLM";80;0,634;0,950094496101226;0,948973988392012;0,990584989522242;0,989806638521404;0,974165163996465;0,971867949141707;0,0011793644882824;0,000391016211282212;0,0011636386340176;0,266065620788494
"Philoherbas belgiumensis";"Grote Nete";"GLM";80;-0,87;0,797821609800789;0,801722918050125;0,897423805969374;0,906110018491723;0,837078510211826;0,831122083245345;-0,00488995058721253;-0,00457789793456894;0,00324233664123248;0,689277033212313
"Alteragris thauensis";"Thau";"GLM";100;0,821;0,835867215668156;0,85252933381384;0,642945567580867;0,744175167935634;0,596583144201066;0,691891805853006;-0,0199339294966429;-0,0616147012732876;-0,0596953951306014;0,999986309661389
"Fugiagristhauensis";"Thau";"GLM";300;0,985;0,975151917309638;0,928368877080414;0,998265271897449;0,973063876533885;0,999170682362233;0,978813321370758;0,0479751302323175;0,0126116365619637;0,010182902926238;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000126739757637065
"Philocourdogenos thauensis";"Thau";"GLM";300;0,993;0,973079572499447;0,976939844985061;0,996510641988289;0,9974593670568;0,982439944432872;0,986028431545922;-0,00396706764247349;-0,000475191591048362;-0,00181013660621962;0,999989973242169
"Philocourdos thauensis";"Thau";"GLM";300;0,977;0,968935721359929;0,942806743373984;0,996694371513438;0,981622001548805;0,985113280795598;0,971903494171201;0,0269666783976878;0,00754866151759021;0,00665442458734762;0,00000000000000000000000281461179077438
"Philograss thauensis";"Thau";"GLM";100;0,377;0,905535863858445;0,914565626275863;0,989998395866479;0,991793253510639;0,945789068035461;0,952939156582359;-0,00997173361962985;-0,000901939241704111;-0,00367464730085924;0,997608865013868
"Philoherbagenos thauensis";"Thau";"GLM";80;0,627;0,910577658699501;0,917274520470859;0,879377822705603;0,896168290238322;0,735849858015738;0,784561671796815;-0,00735452018548542;-0,00893405643605301;-0,0280622275919415;0,996621742048428
"Philoherbas thauensis";"Thau";"GLM";100;-0,348;0,873312700366124;0,874173836240694;0,936294059732757;0,938851282131139;0,929132885214421;0,936929883201078;-0,000986056740282934;-0,00132067873964122;-0,00404171119906539;0,628578447948127
"Alteragris norwayensis";"Trondheim";"GLM";100;0,945;0,889126266294736;0,87911321183248;0,984783613755026;0,979588667275122;0,850255295780125;0,787952564425172;0,0112616788434149;0,00261738682438811;0,0336725053548271;0,00309629169034376
"Fugiagrisnorwayensis";"Trondheim";"GLM";300;-0,146;0,961727248788534;0,95757722595665;0,993249570123136;0,991469373844184;0,992791242278341;0,991545636117461;0,00431517650884068;0,000893112586419655;0,000625056019142335;0,0000152892802876309
"Philocourdogenos norwayensis";"Trondheim";"GLM";300;0,809;0,976330504188909;0,817900666123064;0,993668537901232;0,751496125043094;0,91445805137451;0,707571523011206;0,162270703809937;0,121470750154425;0,108065323350787;0
"Philocourdos norwayensis";"Trondheim";"GLM";300;0,846;0,981789827135241;0,866327030871845;0,998707472815658;0,925545547491789;0,99436190768232;0,96786355794498;0,117604392581968;0,0366046188944316;0,013286630493326;0
"Philograss norwayensis";"Trondheim";"GLM";100;0,958;0,964058715418595;0,962340168507286;0,997997622054834;0,99765261018995;0,996514020229439;0,995636307013992;0,00178261643593316;0,000172678816568949;0,000439622865932295;0,077398227029247
"Philoherbagenos norwayensis";"Trondheim";"GLM";80;0,777;0,948396241531042;0,846189430119322;0,966172323669539;0,761457932125984;0,775718045326449;0,644914945808544;0,107768047716767;0,104118234744292;0,0736620883378242;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306524994704741
"Philoherbas norwayensis";"Trondheim";"GLM";100;0,76;0,918830365494638;0,644430278725492;0,971294118947722;0,75725855579282;0,929070517451258;0,713570266307231;0,29864063822208;0,108576168871825;0,111711961379593;0
"Alteragris belgiumensis";"Grote Nete";"RF";100;0,317;0,812544235861098;0,784492424263279;0,793261002314623;0,753032435908664;0,825967863525723;0,813289991807596;0,0345234269837515;0,0224331909041878;0,00694309684818194;0,000000000000000000000000000000000000000000000000000040842833674835
